INFO:root:2024-01-10 23:42:15: Program started!
INFO:root:2024-01-10 23:42:15: File hint successfully loaded!
INFO:root:2024-01-10 23:42:15: Data of hint loaded into list!
INFO:root:2024-01-10 23:42:15: File text successfully loaded with original size: 4033 bytes!
INFO:root:2024-01-10 23:42:15: Data of text file loaded into list!
INFO:root:2024-01-10 23:42:15: Change: deleted "Jakože,", Score: deleted 7 characters!
INFO:root:2024-01-10 23:42:15: Change: deleted "noo", Score: deleted 3 characters!
INFO:root:2024-01-10 23:42:15: Change: deleted "jakoby?", Score: deleted 7 characters!
INFO:root:2024-01-10 23:42:15: Change: deleted "jakoby,", Score: deleted 7 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Kilogramů" to "Kg", Score: deleted 7 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "systém" to "sys.", Score: deleted 2 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "procesu" to "proc.", Score: deleted 2 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "například" to "např.", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "internetu" to "net", Score: deleted 6 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "internet" to "net", Score: deleted 5 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "internetu" to "net", Score: deleted 6 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Internet" to "Net", Score: deleted 5 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "internet" to "net", Score: deleted 5 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Například" to "Např.", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "například," to "např.,", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "například:" to "např.:", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Informace," to "Info.,", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "informace" to "info.", Score: deleted 4 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Avšak" to "Však", Score: deleted 1 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Avšak" to "Však", Score: deleted 1 characters!
INFO:root:2024-01-10 23:42:15: Change: shorted "Avšak" to "Však", Score: deleted 1 characters!
